[7/12/20 01:16AM]	[CLANCHAT]: Nom: dang we went down 1 rank in runelocus	
[7/12/20 02:05AM]	[CLANCHAT]: Artae: gnightt	
[7/12/20 02:13AM]	[CLANCHAT]: Artae: so i gotta do another... 95 to about 110 runs	
[7/12/20 02:42AM]	[CLANCHAT]: Nom: u came to take my shift lol	
[7/12/20 02:44AM]	[CLANCHAT]: Sworddog22:  lol	
[7/12/20 02:44AM]	[CLANCHAT]: Sworddog22:  i just got oof shift yeeet 	
[7/12/20 02:44AM]	[CLANCHAT]: Sworddog22:  i feel that thou 	
[7/12/20 02:53AM]	[CLANCHAT]: Sworddog22:  yep nope	
[7/12/20 02:54AM]	[CLANCHAT]: Sworddog22:  ill just have to tbow it	
[7/12/20 02:54AM]	[CLANCHAT]: Uzi: tbow what	
[7/12/20 02:55AM]	[CLANCHAT]: Sworddog22:  nex	
[7/12/20 02:55AM]	[CLANCHAT]: Sworddog22:  scythe is good but u get froze to much 	
[7/12/20 02:56AM]	[CLANCHAT]: Sworddog22:  even in torva u wont solo with a scythe only 	
[7/12/20 02:56AM]	[CLANCHAT]: Uzi: ah ya i died doing him went back the side guys where dead but his 	
[7/12/20 02:56AM]	[CLANCHAT]: Uzi: hp reset lol	
[7/12/20 02:56AM]	[CLANCHAT]: Sworddog22:  rip	
[7/12/20 02:57AM]	[CLANCHAT]: Sworddog22:  whatcha working with now uzi?	
[7/12/20 02:57AM]	[CLANCHAT]: Uzi: shit bored doing zulrah	
[7/12/20 02:57AM]	[CLANCHAT]: Sworddog22:  u did get the acb didnt u 	
[7/12/20 02:57AM]	[CLANCHAT]: Uzi: i ended up buying one from martin	
[7/12/20 02:57AM]	[CLANCHAT]: Sworddog22:  oooh lemme know if u get a tanz or serp 	
[7/12/20 02:57AM]	[CLANCHAT]: Uzi: im hoping for a damn blow pipe	
[7/12/20 02:57AM]	[CLANCHAT]: Sworddog22:  its nice for sure	
[7/12/20 02:57AM]	[CLANCHAT]: Uzi: better then acb?	
[7/12/20 02:57AM]	[CLANCHAT]: Sworddog22:  i dont have mine anymore but yea the speed and all beats acb 	
[7/12/20 02:58AM]	[CLANCHAT]: Uzi: all i do is range all the time idk why	
[7/12/20 02:58AM]	[CLANCHAT]: Sworddog22:  i feel it	
[7/12/20 02:59AM]	[CLANCHAT]: Sworddog22:  i range a lot to but i been wanted to see what i can do max 	
[7/12/20 02:59AM]	[CLANCHAT]: Sworddog22:  with scythe	
[7/12/20 02:59AM]	[CLANCHAT]: Uzi: bro where is wildywyrm lets kill him	
[7/12/20 02:59AM]	[CLANCHAT]: Sworddog22:  i honestly dont have a clue	
[7/12/20 02:59AM]	[CLANCHAT]: Sworddog22:  prob just a wildy key anyways	
[7/12/20 02:59AM]	[CLANCHAT]: Uzi: he was at bone yard last time i seen it	
[7/12/20 03:00AM]	[CLANCHAT]: Sworddog22:  since u said something about zulrah figured i smack him some	
[7/12/20 03:00AM]	[CLANCHAT]: Uzi: i swear to god if u get bp lol	
[7/12/20 03:00AM]	[CLANCHAT]: Uzi: what gamemode are u	
[7/12/20 03:00AM]	[CLANCHAT]: Sworddog22:  lol	
[7/12/20 03:01AM]	[CLANCHAT]: Sworddog22:  zezima	
[7/12/20 03:01AM]	[CLANCHAT]: Uzi: same	
[7/12/20 03:01AM]	[CLANCHAT]: Uzi: with row	
[7/12/20 03:01AM]	[CLANCHAT]: Sworddog22:  i dont have my row or ring of coins with me	
[7/12/20 03:01AM]	[CLANCHAT]: Sworddog22:  went dps with scythe 	
[7/12/20 03:01AM]	[CLANCHAT]: Sworddog22:  ring of the gods	
[7/12/20 03:01AM]	[CLANCHAT]: Uzi: i wear archer ring i then switch to row near death	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  d halabert 	
[7/12/20 03:02AM]	[CLANCHAT]: Uzi: i want the damn dragon hunter cross bow to	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  halberd	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  kbd lol	
[7/12/20 03:02AM]	[CLANCHAT]: Uzi: lol	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  b2b d halberds 	
[7/12/20 03:02AM]	[CLANCHAT]: Uzi: my boss task atm is dag supreme havent went there and attempted yet	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  lol	
[7/12/20 03:02AM]	[CLANCHAT]: Sworddog22:  easy 	
[7/12/20 03:03AM]	[CLANCHAT]: Sworddog22:  lol ive 5 slapped zulrah like 3 times in a row now	
[7/12/20 03:03AM]	[CLANCHAT]: Uzi: wtf let me barrow that tbow	
[7/12/20 03:03AM]	[CLANCHAT]: Sworddog22:  scythe	
[7/12/20 03:04AM]	[CLANCHAT]: Sworddog22:  he doesnt have melee buff	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: oh perfect so your not using it	
[7/12/20 03:04AM]	[CLANCHAT]: Sworddog22:  like normal	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: haha jk	
[7/12/20 03:04AM]	[CLANCHAT]: Sworddog22:  lel	
[7/12/20 03:04AM]	[CLANCHAT]: Sworddog22:  lel	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: i never used a twisted bow ever i always leaned away rom learned	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: learning the newer items and rais	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: raids	
[7/12/20 03:04AM]	[CLANCHAT]: Uzi: i've never done one raid lol	
[7/12/20 03:04AM]	[CLANCHAT]: Sworddog22:  thats nuts	
[7/12/20 03:05AM]	[CLANCHAT]: Sworddog22:  when we get it ill run u through it 	
[7/12/20 03:05AM]	[CLANCHAT]: Uzi: im lit to have it added	
[7/12/20 03:05AM]	[CLANCHAT]: Sworddog22:  i can teach tob and nightmare and raids pretty easy 	
[7/12/20 03:05AM]	[CLANCHAT]: Uzi: hell yeah i seen some vids it looked kinda dope	
[7/12/20 03:05AM]	[CLANCHAT]: Uzi: just never played rsps with it	
[7/12/20 03:05AM]	[CLANCHAT]: Sworddog22:  interesting	
[7/12/20 03:05AM]	[CLANCHAT]: Sworddog22:  i played on regular rs and rsps	
[7/12/20 03:06AM]	[CLANCHAT]: Uzi: i only have pure on osrs which it got boring so im here	
[7/12/20 03:06AM]	[CLANCHAT]: Sworddog22:  wish zulrah was actual zulrah thou	
[7/12/20 03:06AM]	[CLANCHAT]: Sworddog22:  he to easy to melee protect and slap in the same spot	
[7/12/20 03:06AM]	[CLANCHAT]: Uzi: i know i feel like i've killed it faster on other servers with all 3 stages	
[7/12/20 03:06AM]	[CLANCHAT]: Uzi: i feel that	
[7/12/20 03:06AM]	[CLANCHAT]: Uzi: not as entertaining	
[7/12/20 03:06AM]	[CLANCHAT]: Sworddog22:  lel ive had 14 sec zulrah kills with the stages	
[7/12/20 03:07AM]	[CLANCHAT]: Uzi: theres actually a vid on youtube someone posted a month or 2 ago	
[7/12/20 03:07AM]	[CLANCHAT]: Uzi: this server and zulrah had more then one but it looked glitchy	
[7/12/20 03:07AM]	[CLANCHAT]: Uzi: af	
[7/12/20 03:07AM]	[CLANCHAT]: Sworddog22:  ive seen one that never stopped spawning new ones 	
[7/12/20 03:07AM]	[CLANCHAT]: Sworddog22:  like u tele in it would stay 1 phase	
[7/12/20 03:08AM]	[CLANCHAT]: Sworddog22:  u kill it get another phase and the 1st one spawns to	
[7/12/20 03:08AM]	[CLANCHAT]: Uzi: wtf lol	
[7/12/20 03:08AM]	[CLANCHAT]: Sworddog22:  yea was broke asf	
[7/12/20 03:08AM]	[CLANCHAT]: Uzi: i hate how it glitchs sometimes like i leave come back and theres two	
[7/12/20 03:08AM]	[CLANCHAT]: Uzi: zulrah	
[7/12/20 03:09AM]	[CLANCHAT]: Sworddog22:  so in long run u getting 1 ticked by 5 zulrahs because they att at 	
[7/12/20 03:09AM]	[CLANCHAT]: Sworddog22:  on same tick u die	
[7/12/20 03:09AM]	[CLANCHAT]: Uzi: like my pet stays then i tele back and it spawn a new zulrah aswell	
[7/12/20 03:09AM]	[CLANCHAT]: Uzi: tyhats fucked lol	
[7/12/20 03:09AM]	[CLANCHAT]: Sworddog22:  so fucked	
[7/12/20 03:09AM]	[CLANCHAT]: Uzi: so i gotta log out inbetween	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  just tele while its alive	
[7/12/20 03:10AM]	[CLANCHAT]: Uzi: i could just get sara pots but idk lol	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  if it is dead it messes it up 	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  if u tele after spawn it makes it go away	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  sara pots r goofed on here	
[7/12/20 03:10AM]	[CLANCHAT]: Uzi: ah i see i usually do when he is dead	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  he is doing a reword	
[7/12/20 03:10AM]	[CLANCHAT]: Sworddog22:  rework on pots	
[7/12/20 03:11AM]	[CLANCHAT]: Sworddog22:  i do it with mantas honestly since it drops them all ready 	
[7/12/20 03:11AM]	[CLANCHAT]: Uzi: ya tahts what im using rn	
[7/12/20 03:11AM]	[CLANCHAT]: Sworddog22:  pots used to be real messed up 	
[7/12/20 03:11AM]	[CLANCHAT]: Sworddog22:  when u drank them down to 1 on sara and restores 	
[7/12/20 03:12AM]	[CLANCHAT]: Sworddog22:  they would become infinite becouse it wouldnt register 0	
[7/12/20 03:12AM]	[CLANCHAT]: Uzi: lmfao wtf	
[7/12/20 03:12AM]	[CLANCHAT]: Sworddog22:  was so nice	
[7/12/20 03:12AM]	[CLANCHAT]: Sworddog22:  infinite food and prayer in 2 bag slotz	
[7/12/20 03:13AM]	[CLANCHAT]: Uzi: lit af i wish nah not really tho that would ruin it	
[7/12/20 03:13AM]	[CLANCHAT]: Sworddog22:  i would be interested in a pot version of a bottomless compost	
[7/12/20 03:13AM]	[CLANCHAT]: Sworddog22:  i just wish u couldnt use in wildy 	
[7/12/20 03:13AM]	[CLANCHAT]: Uzi: i havent attempted to do farming and now that im zezima 	
[7/12/20 03:13AM]	[CLANCHAT]: Uzi: im def not doing no skills lmfao	
[7/12/20 03:13AM]	[CLANCHAT]: Sworddog22:  yea i feel	
[7/12/20 03:14AM]	[CLANCHAT]: Sworddog22:  ive done a bit but didnt max before switching	
[7/12/20 03:14AM]	[CLANCHAT]: Sworddog22:  got agility and herb crafting slayer farm dung and rc left	
[7/12/20 03:14AM]	[CLANCHAT]: Uzi: i just got 99 slay summoning main combat 	
[7/12/20 03:14AM]	[CLANCHAT]: Uzi: thiev mining cook lol	
[7/12/20 03:14AM]	[CLANCHAT]: Sworddog22:  i dint view a need for slayer really	
[7/12/20 03:14AM]	[CLANCHAT]: Sworddog22:  only 76 	
[7/12/20 03:15AM]	[CLANCHAT]: Uzi: i was slaying from the second i logged in lol	
[7/12/20 03:15AM]	[CLANCHAT]: Sworddog22:  i did as soon as i logged but figured i could just kill the bosses	
[7/12/20 03:15AM]	[CLANCHAT]: Sworddog22:  i need atm and not waste time on lower gp stuff	
[7/12/20 03:16AM]	[CLANCHAT]: Sworddog22:  thats when i got a bp and arma lol	
[7/12/20 03:16AM]	[CLANCHAT]: Uzi: on the ::drops it says only imp drops the actual armour	
[7/12/20 03:16AM]	[CLANCHAT]: Sworddog22:  i sold that hoe thou	
[7/12/20 03:16AM]	[CLANCHAT]: Uzi: that cant be right ? right	
[7/12/20 03:16AM]	[CLANCHAT]: Sworddog22:  wait what?	
[7/12/20 03:16AM]	[CLANCHAT]: Uzi: i wish i got bp off rip	
[7/12/20 03:16AM]	[CLANCHAT]: Uzi: search rev	
[7/12/20 03:17AM]	[CLANCHAT]: Sworddog22:  imp drops what 	
[7/12/20 03:17AM]	[CLANCHAT]: Uzi: it says only the imp drops statiu's and stuff	
[7/12/20 03:17AM]	[CLANCHAT]: Uzi: not darkbeast	
[7/12/20 03:18AM]	[CLANCHAT]: Sworddog22:  idk ik thats the only one ive ever got drops off	
[7/12/20 03:18AM]	[CLANCHAT]: Nom: i got statius off dark beast	
[7/12/20 03:18AM]	[CLANCHAT]: Sworddog22:  i got zuriels and sold while bacj 	
[7/12/20 03:18AM]	[CLANCHAT]: Uzi: i just want morrigans	
[7/12/20 03:18AM]	[CLANCHAT]: Uzi: i figured it wasnt true	
[7/12/20 03:18AM]	[CLANCHAT]: Sworddog22:  i like arma over it honestly	
[7/12/20 03:18AM]	[CLANCHAT]: Uzi: fr?	
[7/12/20 03:18AM]	[CLANCHAT]: Sworddog22:  yea 	
[7/12/20 03:18AM]	[CLANCHAT]: Uzi: on this serveru tried it	
[7/12/20 03:19AM]	[CLANCHAT]: Sworddog22:  i will take some pernix over all thou 	
[7/12/20 03:19AM]	[CLANCHAT]: Uzi: well ya	
[7/12/20 03:19AM]	[CLANCHAT]: Uzi: lol	
[7/12/20 03:19AM]	[CLANCHAT]: Sworddog22:  i didnt try on this one 	
[7/12/20 03:19AM]	[CLANCHAT]: Sworddog22:  its mainly pvm gear really	
[7/12/20 03:19AM]	[CLANCHAT]: Sworddog22:  pvp 	
[7/12/20 03:19AM]	[CLANCHAT]: Sworddog22:  sorry 	
[7/12/20 03:20AM]	[CLANCHAT]: Uzi: i feel u	
[7/12/20 03:20AM]	[CLANCHAT]: Sworddog22:   mean i have vanguard lel but i like arma over it	
[7/12/20 03:20AM]	[CLANCHAT]: Sworddog22:  because it only has effect in minigames	
[7/12/20 03:21AM]	[CLANCHAT]: Nom: did u know vet cape is best cape  in game	
[7/12/20 03:22AM]	[CLANCHAT]: Sworddog22:  ooo	
[7/12/20 03:22AM]	[CLANCHAT]: Uzi: didnt know that	
[7/12/20 03:22AM]	[CLANCHAT]: Sworddog22:  where it at 	
[7/12/20 03:22AM]	[CLANCHAT]: Nom: prestige shop 	
[7/12/20 03:22AM]	[CLANCHAT]: Nom: cost 100 if not more	
[7/12/20 03:22AM]	[CLANCHAT]: Sworddog22:  oof rip me 	
[7/12/20 03:22AM]	[CLANCHAT]: Uzi: rip me to sworddog	
[7/12/20 03:22AM]	[CLANCHAT]: Sworddog22:  all ready went to zezima	
[7/12/20 03:23AM]	[CLANCHAT]: Uzi: but not really we can down grade and re levels	
[7/12/20 03:23AM]	[CLANCHAT]: Sworddog22:  but u wont be able to go back to zezima	
[7/12/20 03:23AM]	[CLANCHAT]: Uzi: fuck make another acc	
[7/12/20 03:23AM]	[CLANCHAT]: Sworddog22:  lel prob non tradeable	
[7/12/20 03:23AM]	[CLANCHAT]: Uzi: your FUCKED	
[7/12/20 03:23AM]	[CLANCHAT]: Nom: this game needs more content lol	
[7/12/20 03:24AM]	[CLANCHAT]: Sworddog22:  we need raids and tob to drop 	
[7/12/20 03:24AM]	[CLANCHAT]: Sworddog22:  honestly	
[7/12/20 03:24AM]	[CLANCHAT]: Uzi: need some more people	
[7/12/20 03:24AM]	[CLANCHAT]: Nom: yes	
[7/12/20 03:24AM]	[CLANCHAT]: Nom: sseems like u can finish the gam e in a week with high gear stuff	
[7/12/20 03:24AM]	[CLANCHAT]: Sworddog22:  that would really help on content then situate the drops from some of these bo	
[7/12/20 03:24AM]	[CLANCHAT]: Sworddog22:  some of these bosses	
[7/12/20 03:24AM]	[CLANCHAT]: Sworddog22:  like crazyman needs to go after that 	
[7/12/20 03:25AM]	[CLANCHAT]: Nom: i agree with that lol	
[7/12/20 03:25AM]	[CLANCHAT]: Sworddog22:  like we can solo it with a bp 	
[7/12/20 03:25AM]	[CLANCHAT]: Nom: need to fix all the drops	
[7/12/20 03:25AM]	[CLANCHAT]: Sworddog22:  yea	
[7/12/20 03:25AM]	[CLANCHAT]: Sworddog22:  wish it was a osrs map 	
[7/12/20 03:26AM]	[CLANCHAT]: Nom: what do u mena	
[7/12/20 03:26AM]	[CLANCHAT]: Uzi: about to land this tbow loot	
[7/12/20 03:26AM]	[CLANCHAT]: Sworddog22:  lol original other revs with bracelets and all wildy boses	
[7/12/20 03:26AM]	[CLANCHAT]: Sworddog22:  bosses 	
[7/12/20 03:26AM]	[CLANCHAT]: Nom: yeah that would be nice	
[7/12/20 03:26AM]	[CLANCHAT]: Uzi: fucking law rune	
[7/12/20 03:26AM]	[CLANCHAT]: Sworddog22:  would mean a whole server rework 	
[7/12/20 03:26AM]	[CLANCHAT]: Sworddog22:  lel	
[7/12/20 03:27AM]	[CLANCHAT]: Nom: would be nice if we had alot of devs	
[7/12/20 03:28AM]	[CLANCHAT]: Nom: could rework alot of things faster	
[7/12/20 03:28AM]	[CLANCHAT]: Sworddog22:  eh i martijn just does what he is asked 	
[7/12/20 03:29AM]	[CLANCHAT]: Sworddog22:  so i have this zulrah pet 	
[7/12/20 03:30AM]	[CLANCHAT]: Uzi: it looks sick	
[7/12/20 05:01AM]	[CLANCHAT]: Sworddog22:  welcome btw	
[7/12/20 05:01AM]	[CLANCHAT]: Sworddog22:  nvm they left lol	
[7/12/20 05:12AM]	[CLANCHAT]: Sworddog22:  welcome	
[7/12/20 05:13AM]	[CLANCHAT]: Sworddog22:  yo	
[7/12/20 05:13AM]	[CLANCHAT]: Loki:  whats up 	
[7/12/20 05:13AM]	[CLANCHAT]: Seriousness: sup :P	
[7/12/20 05:13AM]	[CLANCHAT]: Sworddog22:  not much just chilling 	
[7/12/20 05:15AM]	[CLANCHAT]: Sworddog22:  yo 	
[7/12/20 05:15AM]	[CLANCHAT]: Martijn: hi	
[7/12/20 05:15AM]	[CLANCHAT]: Loki:  whats up thought u said u werent going to be on 	
[7/12/20 05:15AM]	[CLANCHAT]: Martijn: not going yet	
[7/12/20 05:16AM]	[CLANCHAT]: Martijn: just checking in before i leave	
[7/12/20 05:16AM]	[CLANCHAT]: Sworddog22:  ah ofc	
[7/12/20 06:04AM]	[CLANCHAT]: Serious Sam: nice	
[7/12/20 06:04AM]	[CLANCHAT]: Loki: / lel	
[7/12/20 06:09AM]	[CLANCHAT]: Ispy:  wait what i dont see u 	
[7/12/20 06:09AM]	[CLANCHAT]: Serious Sam: lol	
[7/12/20 06:09AM]	[CLANCHAT]: Serious Sam: i moved across the fence	
[7/12/20 06:09AM]	[CLANCHAT]: Ispy: ahhh ok	
[7/12/20 06:20AM]	[CLANCHAT]: Serious Sam: yeah	
[7/12/20 06:28AM]	[CLANCHAT]: Serious Sam: its crap	
[7/12/20 06:28AM]	[CLANCHAT]: Serious Sam: 30 coal	
[7/12/20 06:29AM]	[CLANCHAT]: Serious Sam: ......	
[7/12/20 06:29AM]	[CLANCHAT]: Ispy:  ok rip on that ill have to give them some test runs on dev client when i get u	
[7/12/20 06:29AM]	[CLANCHAT]: Serious Sam: dig where players plant flowers	
[7/12/20 06:29AM]	[CLANCHAT]: Serious Sam: where was that one again	
[7/12/20 06:30AM]	[CLANCHAT]: Sworddog22:  go to ::gamble	
[7/12/20 06:30AM]	[CLANCHAT]: Serious Sam: ah got it	
[7/12/20 06:30AM]	[CLANCHAT]: Serious Sam: here	
[7/12/20 06:56AM]	[CLANCHAT]: Therscaper: are afk tokens tradeable?	
[7/12/20 08:25AM]	[CLANCHAT]: Nom: welcom evaderx	
[7/12/20 08:57AM]	[CLANCHAT]: Martijn: noobs	
[7/12/20 08:57AM]	[CLANCHAT]: Hairloss: hello	
[7/12/20 08:57AM]	[CLANCHAT]: Martijn: hiyaa	
[7/12/20 08:57AM]	[CLANCHAT]: Hairloss: dungeoneering is actually pretty fun	
[7/12/20 08:58AM]	[CLANCHAT]: Martijn: i tpld ya	
[7/12/20 08:58AM]	[CLANCHAT]: Hairloss: forgot to bind some primals 	
[7/12/20 08:58AM]	[CLANCHAT]: Martijn: lplol9l	
[7/12/20 08:58AM]	[CLANCHAT]: Hairloss: Completely forgot that was a thing	
[7/12/20 08:58AM]	[CLANCHAT]: Hairloss: I thought you just kept it	
[7/12/20 08:59AM]	[CLANCHAT]: Hairloss: How many stuff can you bind?	
[7/12/20 09:27AM]	[CLANCHAT]: Sworddog22:  lvl 85 i think is 3	
[7/12/20 09:27AM]	[CLANCHAT]: Hairloss: Oh cool cheers	
[7/12/20 09:51AM]	[CLANCHAT]: Hairloss: Welcome	
[7/12/20 10:16AM]	[CLANCHAT]: Hairloss: Welcome	
[7/12/20 10:21AM]	[CLANCHAT]: Hairloss: Welcome	
[7/12/20 10:21AM]	[CLANCHAT]: Chase: heey	
[7/12/20 10:21AM]	[CLANCHAT]: Hairloss: You doing good?	
[7/12/20 10:21AM]	[CLANCHAT]: Chase: not bad, checking out this rsps	
[7/12/20 10:22AM]	[CLANCHAT]: Chase: you?	
[7/12/20 10:22AM]	[CLANCHAT]: Hairloss: Good good, grinding out levels	
[7/12/20 10:32AM]	[CLANCHAT]: Hairloss: Welcome	
[7/12/20 10:32AM]	[CLANCHAT]: Yodaxx:  ty and hey 	
[7/12/20 11:24AM]	[CLANCHAT]: Synapse: can someone help with a clue?	
[7/12/20 11:24AM]	[CLANCHAT]: Hairloss: Whuch one?	
[7/12/20 11:24AM]	[CLANCHAT]: Synapse: dig near the king of dragons	
[7/12/20 11:25AM]	[CLANCHAT]: Hairloss: Lemme hop on my other acc I'll show you	
[7/12/20 11:25AM]	[CLANCHAT]: Synapse: alright	
[7/12/20 11:26AM]	[CLANCHAT]: Hairyzezima: Come kbd	
[7/12/20 11:26AM]	[CLANCHAT]: Synapse: i am there	
[7/12/20 11:43AM]	[CLANCHAT]: Hairloss: gz	
[7/12/20 11:46AM]	[CLANCHAT]: Omoshiroi: i cant claim ittttt	
[7/12/20 11:46AM]	[CLANCHAT]: Omoshiroi: gzzz	
[7/12/20 11:46AM]	[CLANCHAT]: Hairloss: gzz	
[7/12/20 11:46AM]	[CLANCHAT]: Synapse: oh shit lol	
[7/12/20 12:30PM]	[CLANCHAT]: Hairloss: Does anyone know the attack stats of drygore rapier	
[7/12/20 12:54PM]	[CLANCHAT]: Banaan: not in this game no	
[7/12/20 12:55PM]	[CLANCHAT]: Hairloss: f	
[7/12/20 01:28PM]	[CLANCHAT]: Hairloss: gz	
[7/12/20 01:35PM]	[CLANCHAT]: Hairloss: gz	
[7/12/20 01:39PM]	[CLANCHAT]: Hairloss: cheers	
[7/12/20 01:53PM]	[CLANCHAT]: Uzi: gz	
[7/12/20 02:47PM]	[CLANCHAT]: Tampon: how much is drygore longsword worth	
[7/12/20 02:50PM]	[CLANCHAT]: Banaan: no clue	
[7/12/20 02:57PM]	[CLANCHAT]: Hairloss: gz	
[7/12/20 02:59PM]	[CLANCHAT]: Venerate: ty	
[7/12/20 03:07PM]	[CLANCHAT]: Hairloss: gz again	
[7/12/20 03:24PM]	[CLANCHAT]: Martijn: ello	
[7/12/20 03:24PM]	[CLANCHAT]: Hairloss: hey	
[7/12/20 03:24PM]	[CLANCHAT]: Venerate: heyo	
[7/12/20 03:25PM]	[CLANCHAT]: Hairloss: How was the zoo?	
[7/12/20 03:25PM]	[CLANCHAT]: Martijn: was fun man	
[7/12/20 03:25PM]	[CLANCHAT]: Martijn: no complains	
[7/12/20 03:25PM]	[CLANCHAT]: Martijn: only stupid rules atm lol	
[7/12/20 03:25PM]	[CLANCHAT]: Hairloss: Oh lol	
[7/12/20 03:26PM]	[CLANCHAT]: Venerate: did the animals have masks?	
[7/12/20 03:26PM]	[CLANCHAT]: Hairloss: Lmao	
[7/12/20 03:26PM]	[CLANCHAT]: Martijn: i did saw alot of people with masks so i just stand next them	
[7/12/20 03:26PM]	[CLANCHAT]: Martijn: and cough a couple of times	
[7/12/20 03:26PM]	[CLANCHAT]: Martijn: to see there reaction	
[7/12/20 03:26PM]	[CLANCHAT]: Hairloss: lol you evil bro	
[7/12/20 03:26PM]	[CLANCHAT]: Martijn: :P	
[7/12/20 03:26PM]	[CLANCHAT]: Venerate: clear out the area so yoy get it to your self?	
[7/12/20 03:27PM]	[CLANCHAT]: Martijn: ofc whatcha think i need a big personal space	
[7/12/20 03:27PM]	[CLANCHAT]: Martijn: for me and my family	
[7/12/20 03:27PM]	[CLANCHAT]: Hairloss: Legit private zoo	
[7/12/20 03:27PM]	[CLANCHAT]: Venerate: haha	
[7/12/20 03:27PM]	[CLANCHAT]: Martijn: ikr	
[7/12/20 03:27PM]	[CLANCHAT]: Hairloss: Been farming dung for hours now, almost 99 	
[7/12/20 03:28PM]	[CLANCHAT]: Hairloss: Which primal should I get?	
